LABEL	preprocessing_A
FAVOR	segun irene lozano españa votar violar equivalente correccion acusar votación llevar preso sentenciar violacion manar seguir libre
FAVOR	cataluña seguir juicio independentista catalán directo
NEUTRAL	entonces candidato presidencia venezuela
FAVOR	gobierno andaluz ppcs anunciar plan anti listo esperar millón enviar paciente privar
FAVOR	caber catalán independentista vasco gallego andaluz tampoco caber democratas pedir referendum pactar independientemente opcion politica engañar caber querer bien pintar
AGAINST	vivo #españa vivo #europa prision
AGAINST	sanchez anunciar aplicar andalucia poner peligrar mujer pues deberias carcel peligrar españa español
NEUTRAL	directo puigserver responsable interior cargo mossos leal profesional tener colaboracion leal
NEUTRAL	liberar periodista eeuu detener militar #venezuela
NEUTRAL	gonzalez pons denunciar echar maduro aqui
AGAINST	sanchez asumio vergonzosamente mantra nacionalista crispar cataluña constitucionalista quitar lazo amarillo pedir espacio publicos neutral inaccion permitir generalitat amenazar multar persona
FAVOR	esperar ganar evidente nivel declarar integridad preparacion poner relieve distanciar intelectual moral politicos indis unionista
NEUTRAL	nuria marin siempre estar disponer ayudar resolver problema politico gravar año
FAVOR	sistema politico suizo cercano democracia cataluña democracia estar independiente españa actualidad
NEUTRAL	crida comparar exiliar puigdemont guerra civil
AGAINST	hablais mentir dudar millo mentir decir juicio vilaweb govern indepe defendeis cosa empezo proces
FAVOR	amigxs restar españa estatal retransmitir juicio causar llevar llenar telediario podeis verlo directo diario miradlo filtro sentir miedo querer cargar democracia
AGAINST	distorsionar manipular mientras imagenes juicio poner imagenes noticiar partidario #oct algun catalan escuchar cambiar bando sobervio
AGAINST	gabriel rufian republicano español catalanista izquierdo odiar republicano español david fernandez saber españa estar derecho gispert esperanzar feminista talegon intelectual momento
AGAINST	️sin masalto claroesta ️️️️ #eleccionesvotoderechas
AGAINST	#lapatriasonpersonas abril partido animalista dara sorpasso partido persona cargar pacma poder venir sorpasso
AGAINST	abogar puigdemont pedir gobierno sanchez desactivar investigandolo
AGAINST	mossos detener septimo hijo puto autor violacion chico año sabadell marroquies antecedente actividad delictivo constante okupa nave atemorizar barrio cuanto tardar politicos esquivarlo llamarnos racista
FAVOR	pedro unicos poseedor verdad dejar manifestación manar facha aplicacion veteis presenciar parlamentar europeo presidente electo cataluña
FAVOR	votar delito impedir forzar gente votar #judicidelavergonya #absolucio #judicitvcatradio
FAVOR	clamor independentista portar miercoles #diada
FAVOR	banco hipoteca querer casa pues españa hipotecar deuda region español hara decir brusela decir decir tribunal constitucional octubre
FAVOR	#relatorarv pedir cerrar cadena español manifestar odiar catalunya crecer numerar indepes imbecil verlo jaja jaja
FAVOR	promover juez prevaricador vicepresi condenar comer chiringuito partido financiar iran alfombrar levantar pagar #volquetesdeputas celebrar exitos politicos
FAVOR	ver independencia conseguir menos dinero politicos encarcelar juzgar division hegemonia derecho alla proxima intervencion generalitat tanto seguir intentandolo manera
FAVOR	congreso videos guardaditos recaudar unionista
AGAINST	increible gobierno sanchez decir abiertamente creer alto inspeccion torrar puigdemont funcionario estar golpe estar
FAVOR	primer proper despres limpiar actualment puto millo alarmar seguridad utilizar #fairy hogar proteger #judiciproces #juiciodelproces #juiciofarsa #juicioalademocracia
NEUTRAL	presidente interino venezuela amplio sonrisa noche
NEUTRAL	monumento españa vida poco paises reunir tanto variedad arquitectonica calle impresionante
AGAINST	isabel coixet españa democracia
NEUTRAL	nuet alia alamany acercar común
AGAINST	sobre escenario hipotetica coalicion moveria tornar voto diputar este asumir alcanzar votar obtener andalucia #quenoteamarguen #españaviva
FAVOR	encuestar creer falto listo unitario independentista senado
NEUTRAL	quando joey entrevistar falando improvisava falas outro drake ramoray buraco elevador
AGAINST	cuando pasar efecto homeopatico tomar leete seguramente pedir ayudar basar funcionamiento estar derecho pistar proyecto constitucion catalán avalar mesias
FAVOR	principiar metodo contagiar reunir diverso adversario categoria individuo independentismo adversario constituirse sumo individualizar
FAVOR	sancionar incumplimiento independencia #aena #expolioaena millón falto grave trabajo aena guindo ministro economia salir bolsa aena
FAVOR	creer ayuntamiento social republica ayuntamiento independencia desahucio express
NEUTRAL	fkekdsoids podar ficar contato agua
FAVOR	diferenciar golpe estar democracia ejemplo golpe estar llevar uniformar apalear gente queria votar
NEUTRAL	rubronegro flaxflus mais emocionante ano cheio gols virar lanzar william arão marcar cabeça empatar partida
FAVOR	octubre podias defender derecho humano andaluz
AGAINST	joan ignasi elena definir millo miserable #violencia independentismo
FAVOR	pues negociar mejor primer democracia chantaje siglo
FAVOR	ley laboral estar criticar todo politicos poder mismo porque unico interesar unidad españa todo problema sanidad publicar dime partido defender
NEUTRAL	follet pronunciar independencia catalunya
NEUTRAL	#feb recibir respaldar grupo exconstituyentistas reconocer luchar restablecer democracia #planpais rescatar venezuela hemo recuperar esperanzar estar unir movilizar lograr libertar
FAVOR	famoso referendum octubre cuenta intervenir imposible celebrar boicot producto catalán españa empresa pagar comprar urna papeleta necesario pasar
NEUTRAL	senador independiente vermont perdio hillary clinton anunciar candidatura casa blanco
FAVOR	madre manera mensaje soez decir obviar jugar apoyar golpista marcandote
AGAINST	inepto totalitario narcisista justificar desvelar conversación libro hecho relatar verguenza nivel #abrilelecciones mandarlo lejos #eleccionesvotoderechas
FAVOR	primerose gente pensar preso politicos pero pensar pensar querer segundar sentir cuestion sentimiento para ayuntamiento gobernar gobernar cuestion democracia
FAVOR	#makeamove esten carcel esten abrazar preso exiliar represaliado politicos estar españoltodos noche noche #gabon #bonanit #boasnoites #buenasnoches #llibertatpresospolitics
AGAINST	catalán indepes dar bienvenido asesino implementar independencia conformar palmero etarra #asco
NEUTRAL	tener amigo alla persona feliz fuente
NEUTRAL	#juanguaido agrace apoyar brindar #colombia #ivanduque
FAVOR	#lapatriasonpersonas abril elección general votar unir poder gente normal politicas cambiar vida gente patrio olvidar votar unir poder
NEUTRAL	reviravoltas roteiro caso bebianno reforçaram ideia acompanhar desdobramentos governo bolsonaro reality show #arquivoelpais
FAVOR	contar kale borroka atentar concesionario pero resultar imagenes falso atentar independentista desmentir concesionario
FAVOR	nacionalista dañar partido democracia pactar ellos cerrar puerta pacto lanzar escenario malo noticiar
NEUTRAL	lindar veria walmart principal merced
AGAINST	preparar combatir delincuente golpista tribunal supremo unidad españa estar derecho libertar venceran #acusacionpopularvox #españaviva
NEUTRAL	recomer presidente incorporar venezolano talentoso equipar trabajar #venezuelaevoluciona
AGAINST	construir republica decir engañar querer tribu jefe torrar hechicero puigdemont poder seguir vivir marqués ellos burguesia sonar misal banca andorra banca catalán itvs caso palau
FAVOR	referendum anterior reconocer mejor pero brazo cruzar tanto aclamacion popular ignorar mill persona partido ruta explicitar
AGAINST	#psoe andaluz repartio millón sobresueldo psoe sobresueldo trabajo realizar comision investigacion senado dejar sobresueldo orden psoe
FAVOR	#rumbournasarv elección fiesta democracia cada campaña abyecto rastrero cutre reunir poner evidenciar peor manipulador manipular
AGAINST	alcalde lloriquear quitar propaganda golpista vera sorpresa contar juez sacar dinero
FAVOR	tanto empatia articular constitucion español heredar hitler alemania empatia constitucion venezolano #salvadosmaduro
AGAINST	curioso simpatias independentista catalán regimen maduro coincidencia explic
NEUTRAL	psoe alian impedir entrar puigdemont eurocamara #proces
AGAINST	ciudadano comenzo perder norte cataluña ganar elección incapaz presentar programa gobierno pato perder votacion ultimar decisión arrimar viajar pleitesia waterlo huir madrid confirmacion inoperancia
NEUTRAL	unico democratico venezuela pobreza karina sainz #mar
FAVOR	felipe reune mohamed marrueco estara orden independencia sahara occidental sahara libre
AGAINST	sanchez atribuir libro juan cruz citar celebrar fray luis leon ademar plagiador traidor okupa incapaz indecente caradura inculto par nariz #eleccionesvotoderechas
NEUTRAL	viajar internacionalizar tension dañar causar independentista señalar celar
NEUTRAL	lider opositor juan guaido anunciar twitter camión ayudar humanitario proveniente colombia territorio venezolano
FAVOR	este juicio pantomima españa region europa estrasburgo obligar excarcelar preso politicos
FAVOR	ver politicos derecho volver llenarse boca elogio papel juan carlos
FAVOR	golpe estar paraiso perder etarra satisfacer abandonar armar poder actuar catañunya proteccion bipartidismo proteccion demostrar juicio altavoz mediatico mantener levantamiento
FAVOR	ver argumento inventar fiscalia falto moral testigo preso politicos deberian puesto libertar condicional sucedera castigar democracia cataluña
FAVOR	rivera ensalzar figurar machar leido kant llamarian golpista castilla miserable dominador envolver andrajo despreciar ignorar
AGAINST	cantero vallar caidos preso hacian emplear soldar exhumacion franco
FAVOR	persona pacificar tratar terrorista convoy vehiculos celda minusculas lavabo avion ventanilla organizar referendum condenar
NEUTRAL	brutal preambulo libertar venir #venezuelaaidlive
AGAINST	#pensamiento tribunal supremo democracia español jugar pues envite deberan extremarse garantias
AGAINST	existir libertinaje democracia español payaso politico xenofobo independentista torrar decir reparo desafiante palabra mantener cargar institucion destituir procesar justicia antecedente
AGAINST	manipular video acusar simular pegar tirar manifestante independentista
FAVOR	proponer proxima menten siete vehículo devastar pedir exhibicion fotografias numerar matricular ballesta #juicioproces
AGAINST	urgir prohiba tajantemente instalación publicar colegio hospital ayuntamiento demas fomentar ideologia temer sindical obligatorio enseñar nacional exclusivamente #eshoradevox #voxextremanecesidad #verde
FAVOR	defender prebelico resistir violentar necesario incluso mentira defender sagrado unidad #judicifarsa
FAVOR	neva dins vidre independentistes xavier martinez #joacuso #judicitvcatradio #judicifarsa #judiciproces #judicialademocracia
FAVOR	cuanto caspa estar siglo #niunpasoatrasenigualdad querer politicos cambiar lenguaje estudiar seguir machismo dejar politica
FAVOR	retornar mhppuigdemont salio urna llamar democracia querer otro votar
FAVOR	cosa montar bufete abogar querer unir unico requerir seguir #judicifarsa hasta
AGAINST	serpiente necesitar odiar independentista saltar congreso
FAVOR	abuelo mani colon #thisistherealspain
AGAINST	hacer semejante golpista cobarde frotar mano vivir tonto utiles bailar agua
NEUTRAL	noticiar sabado volta nosso bailão paropeba tudo fudeu porra chama
AGAINST	leeis maduro nuestro pedro creer gobernar casa liquidar begoña menos quedo poco #eleccionesvotoderechas jodio pedro jodio
FAVOR	tener valentia escuchar trozo subir declaracion considerais golpista provocar violencia mundo distinto irreconciliable
